Asset_Prices,C|S|4900|60|1,P|L|4900|60|1,C|L|5000|60|2,P|S|5000|60|2,P|L|5300|60|1,C|L|5300|60|1
5748.65,-848.65,0.00,1497.30,-0.00,0.00,448.65
5044.05,-144.05,0.00,88.11,-0.00,255.95,0.00
5873.91,-973.91,0.00,1747.82,-0.00,0.00,573.91
5520.93,-620.93,0.00,1041.86,-0.00,0.00,220.93
4707.39,-0.00,192.61,0.00,-585.22,592.61,0.00
4683.45,-0.00,216.55,0.00,-633.10,616.55,0.00
5198.17,-298.17,0.00,396.34,-0.00,101.83,0.00
4495.64,-0.00,404.36,0.00,-1008.72,804.36,0.00
6123.50,-1223.50,0.00,2247.00,-0.00,0.00,823.50
4909.93,-9.93,0.00,0.00,-180.15,390.07,0.00
4489.54,-0.00,410.46,0.00,-1020.91,810.46,0.00
5112.63,-212.63,0.00,225.26,-0.00,187.37,0.00
4773.76,-0.00,126.24,0.00,-452.49,526.24,0.00
4943.77,-43.77,0.00,0.00,-112.45,356.23,0.00
5405.31,-505.31,0.00,810.62,-0.00,0.00,105.31
4446.08,-0.00,453.92,0.00,-1107.84,853.92,0.00
5397.91,-497.91,0.00,795.82,-0.00,0.00,97.91
4727.75,-0.00,172.25,0.00,-544.50,572.25,0.00
5447.20,-547.20,0.00,894.41,-0.00,0.00,147.20
4743.20,-0.00,156.80,0.00,-513.61,556.80,0.00
4754.54,-0.00,145.46,0.00,-490.92,545.46,0.00
5170.04,-270.04,0.00,340.07,-0.00,129.96,0.00
5251.91,-351.91,0.00,503.82,-0.00,48.09,0.00
4753.13,-0.00,146.87,0.00,-493.74,546.87,0.00
5107.30,-207.30,0.00,214.60,-0.00,192.70,0.00
4906.24,-6.24,0.00,0.00,-187.52,393.76,0.00
6436.25,-1536.25,0.00,2872.50,-0.00,0.00,1136.25
5094.04,-194.04,0.00,188.08,-0.00,205.96,0.00
5585.16,-685.16,0.00,1170.31,-0.00,0.00,285.16
5296.77,-396.77,0.00,593.54,-0.00,3.23,0.00
4841.08,-0.00,58.92,0.00,-317.85,458.92,0.00
4791.78,-0.00,108.22,0.00,-416.45,508.22,0.00
5435.09,-535.09,0.00,870.18,-0.00,0.00,135.09
5323.09,-423.09,0.00,646.18,-0.00,0.00,23.09
5023.74,-123.74,0.00,47.49,-0.00,276.26,0.00
4416.62,-0.00,483.38,0.00,-1166.76,883.38,0.00
5128.43,-228.43,0.00,256.86,-0.00,171.57,0.00
5592.92,-692.92,0.00,1185.83,-0.00,0.00,292.92
6157.59,-1257.59,0.00,2315.18,-0.00,0.00,857.59
5968.52,-1068.52,0.00,1937.05,-0.00,0.00,668.52
5030.74,-130.74,0.00,61.48,-0.00,269.26,0.00
5334.27,-434.27,0.00,668.54,-0.00,0.00,34.27
4604.32,-0.00,295.68,0.00,-791.35,695.68,0.00
5159.15,-259.15,0.00,318.30,-0.00,140.85,0.00
4646.37,-0.00,253.63,0.00,-707.26,653.63,0.00
5078.76,-178.76,0.00,157.51,-0.00,221.24,0.00
4518.53,-0.00,381.47,0.00,-962.94,781.47,0.00
4709.12,-0.00,190.88,0.00,-581.76,590.88,0.00
4820.59,-0.00,79.41,0.00,-358.82,479.41,0.00
4845.92,-0.00,54.08,0.00,-308.16,454.08,0.00
5497.00,-597.00,0.00,994.00,-0.00,0.00,197.00
5135.40,-235.40,0.00,270.79,-0.00,164.60,0.00
4651.45,-0.00,248.55,0.00,-697.09,648.55,0.00
4670.94,-0.00,229.06,0.00,-658.12,629.06,0.00
4976.88,-76.88,0.00,0.00,-46.25,323.12,0.00
5240.47,-340.47,0.00,480.94,-0.00,59.53,0.00
5306.33,-406.33,0.00,612.65,-0.00,0.00,6.33
5251.29,-351.29,0.00,502.57,-0.00,48.71,0.00
5441.34,-541.34,0.00,882.68,-0.00,0.00,141.34
5873.46,-973.46,0.00,1746.93,-0.00,0.00,573.46
4720.14,-0.00,179.86,0.00,-559.72,579.86,0.00
5142.62,-242.62,0.00,285.25,-0.00,157.38,0.00
5093.74,-193.74,0.00,187.48,-0.00,206.26,0.00
5189.66,-289.66,0.00,379.33,-0.00,110.34,0.00
5195.74,-295.74,0.00,391.48,-0.00,104.26,0.00
5222.31,-322.31,0.00,444.62,-0.00,77.69,0.00
4342.58,-0.00,557.42,0.00,-1314.85,957.42,0.00
4579.15,-0.00,320.85,0.00,-841.69,720.85,0.00
4992.46,-92.46,0.00,0.00,-15.08,307.54,0.00
5584.29,-684.29,0.00,1168.58,-0.00,0.00,284.29
4613.52,-0.00,286.48,0.00,-772.96,686.48,0.00
5131.92,-231.92,0.00,263.85,-0.00,168.08,0.00
5391.63,-491.63,0.00,783.25,-0.00,0.00,91.63
5247.77,-347.77,0.00,495.55,-0.00,52.23,0.00
4994.25,-94.25,0.00,0.00,-11.50,305.75,0.00
5782.84,-882.84,0.00,1565.68,-0.00,0.00,482.84
5153.74,-253.74,0.00,307.48,-0.00,146.26,0.00
4784.26,-0.00,115.74,0.00,-431.49,515.74,0.00
4655.72,-0.00,244.28,0.00,-688.56,644.28,0.00
5180.09,-280.09,0.00,360.19,-0.00,119.91,0.00
5758.08,-858.08,0.00,1516.16,-0.00,0.00,458.08
4754.47,-0.00,145.53,0.00,-491.06,545.53,0.00
5445.51,-545.51,0.00,891.02,-0.00,0.00,145.51
4872.25,-0.00,27.75,0.00,-255.51,427.75,0.00
4689.86,-0.00,210.14,0.00,-620.28,610.14,0.00
5010.40,-110.40,0.00,20.80,-0.00,289.60,0.00
4839.16,-0.00,60.84,0.00,-321.68,460.84,0.00
5064.63,-164.63,0.00,129.25,-0.00,235.37,0.00
5326.93,-426.93,0.00,653.86,-0.00,0.00,26.93
5480.89,-580.89,0.00,961.79,-0.00,0.00,180.89
5292.81,-392.81,0.00,585.62,-0.00,7.19,0.00
5044.57,-144.57,0.00,89.14,-0.00,255.43,0.00
5976.63,-1076.63,0.00,1953.26,-0.00,0.00,676.63
5213.56,-313.56,0.00,427.12,-0.00,86.44,0.00
4669.41,-0.00,230.59,0.00,-661.19,630.59,0.00
5229.93,-329.93,0.00,459.85,-0.00,70.07,0.00
5363.63,-463.63,0.00,727.25,-0.00,0.00,63.63
5124.97,-224.97,0.00,249.95,-0.00,175.03,0.00
4890.82,-0.00,9.18,0.00,-218.36,409.18,0.00
5886.37,-986.37,0.00,1772.73,-0.00,0.00,586.37
5324.95,-424.95,0.00,649.91,-0.00,0.00,24.95
4831.71,-0.00,68.29,0.00,-336.58,468.29,0.00
5979.20,-1079.20,0.00,1958.39,-0.00,0.00,679.20
4737.55,-0.00,162.45,0.00,-524.90,562.45,0.00
5490.63,-590.63,0.00,981.25,-0.00,0.00,190.63
4696.05,-0.00,203.95,0.00,-607.90,603.95,0.00
4813.69,-0.00,86.31,0.00,-372.63,486.31,0.00
4739.62,-0.00,160.38,0.00,-520.76,560.38,0.00
5055.28,-155.28,0.00,110.56,-0.00,244.72,0.00
4800.90,-0.00,99.10,0.00,-398.20,499.10,0.00
5295.69,-395.69,0.00,591.38,-0.00,4.31,0.00
4989.67,-89.67,0.00,0.00,-20.65,310.33,0.00
4933.31,-33.31,0.00,0.00,-133.38,366.69,0.00
5016.87,-116.87,0.00,33.73,-0.00,283.13,0.00
5496.95,-596.95,0.00,993.90,-0.00,0.00,196.95
4717.68,-0.00,182.32,0.00,-564.65,582.32,0.00
5320.43,-420.43,0.00,640.85,-0.00,0.00,20.43
4924.48,-24.48,0.00,0.00,-151.04,375.52,0.00
4612.42,-0.00,287.58,0.00,-775.16,687.58,0.00
4424.28,-0.00,475.72,0.00,-1151.45,875.72,0.00
4463.75,-0.00,436.25,0.00,-1072.51,836.25,0.00
5321.23,-421.23,0.00,642.47,-0.00,0.00,21.23
5669.13,-769.13,0.00,1338.25,-0.00,0.00,369.13
5769.65,-869.65,0.00,1539.30,-0.00,0.00,469.65
4853.91,-0.00,46.09,0.00,-292.19,446.09,0.00
5516.23,-616.23,0.00,1032.46,-0.00,0.00,216.23
5628.57,-728.57,0.00,1257.14,-0.00,0.00,328.57
4657.04,-0.00,242.96,0.00,-685.92,642.96,0.00
5219.28,-319.28,0.00,438.56,-0.00,80.72,0.00
4456.57,-0.00,443.43,0.00,-1086.87,843.43,0.00
4533.30,-0.00,366.70,0.00,-933.39,766.70,0.00
4575.62,-0.00,324.38,0.00,-848.77,724.38,0.00
4763.69,-0.00,136.31,0.00,-472.61,536.31,0.00
4881.89,-0.00,18.11,0.00,-236.22,418.11,0.00
4854.00,-0.00,46.00,0.00,-292.01,446.00,0.00
4597.18,-0.00,302.82,0.00,-805.63,702.82,0.00
5094.18,-194.18,0.00,188.36,-0.00,205.82,0.00
5412.06,-512.06,0.00,824.11,-0.00,0.00,112.06
5019.57,-119.57,0.00,39.14,-0.00,280.43,0.00
4426.57,-0.00,473.43,0.00,-1146.86,873.43,0.00
5319.70,-419.70,0.00,639.41,-0.00,0.00,19.70
5265.85,-365.85,0.00,531.71,-0.00,34.15,0.00
4869.82,-0.00,30.18,0.00,-260.36,430.18,0.00
4516.11,-0.00,383.89,0.00,-967.79,783.89,0.00
5249.12,-349.12,0.00,498.24,-0.00,50.88,0.00
4429.51,-0.00,470.49,0.00,-1140.97,870.49,0.00
5340.13,-440.13,0.00,680.26,-0.00,0.00,40.13
4792.16,-0.00,107.84,0.00,-415.68,507.84,0.00
4803.05,-0.00,96.95,0.00,-393.89,496.95,0.00
5763.19,-863.19,0.00,1526.38,-0.00,0.00,463.19
5987.45,-1087.45,0.00,1974.90,-0.00,0.00,687.45
5118.62,-218.62,0.00,237.24,-0.00,181.38,0.00
5978.99,-1078.99,0.00,1957.98,-0.00,0.00,678.99
4834.83,-0.00,65.17,0.00,-330.34,465.17,0.00
5288.81,-388.81,0.00,577.61,-0.00,11.19,0.00
4985.65,-85.65,0.00,0.00,-28.71,314.35,0.00
5263.39,-363.39,0.00,526.79,-0.00,36.61,0.00
5592.07,-692.07,0.00,1184.14,-0.00,0.00,292.07
5066.83,-166.83,0.00,133.65,-0.00,233.17,0.00
5329.82,-429.82,0.00,659.64,-0.00,0.00,29.82
5153.29,-253.29,0.00,306.58,-0.00,146.71,0.00
5072.01,-172.01,0.00,144.02,-0.00,227.99,0.00
6010.36,-1110.36,0.00,2020.72,-0.00,0.00,710.36
5251.89,-351.89,0.00,503.78,-0.00,48.11,0.00
5815.01,-915.01,0.00,1630.03,-0.00,0.00,515.01
5444.07,-544.07,0.00,888.15,-0.00,0.00,144.07
5205.77,-305.77,0.00,411.55,-0.00,94.23,0.00
4839.63,-0.00,60.37,0.00,-320.73,460.37,0.00
5296.18,-396.18,0.00,592.37,-0.00,3.82,0.00
5240.94,-340.94,0.00,481.89,-0.00,59.06,0.00
5176.65,-276.65,0.00,353.30,-0.00,123.35,0.00
4951.60,-51.60,0.00,0.00,-96.80,348.40,0.00
5032.32,-132.32,0.00,64.65,-0.00,267.68,0.00
5217.13,-317.13,0.00,434.26,-0.00,82.87,0.00
4645.37,-0.00,254.63,0.00,-709.25,654.63,0.00
5183.63,-283.63,0.00,367.27,-0.00,116.37,0.00
5311.55,-411.55,0.00,623.10,-0.00,0.00,11.55
5337.58,-437.58,0.00,675.16,-0.00,0.00,37.58
5322.23,-422.23,0.00,644.45,-0.00,0.00,22.23
5495.02,-595.02,0.00,990.05,-0.00,0.00,195.02
4829.17,-0.00,70.83,0.00,-341.66,470.83,0.00
4987.85,-87.85,0.00,0.00,-24.30,312.15,0.00
4982.82,-82.82,0.00,0.00,-34.37,317.18,0.00
5046.56,-146.56,0.00,93.12,-0.00,253.44,0.00
5111.56,-211.56,0.00,223.11,-0.00,188.44,0.00
4853.58,-0.00,46.42,0.00,-292.84,446.42,0.00
5072.34,-172.34,0.00,144.69,-0.00,227.66,0.00
4559.96,-0.00,340.04,0.00,-880.09,740.04,0.00
5923.56,-1023.56,0.00,1847.12,-0.00,0.00,623.56
4735.60,-0.00,164.40,0.00,-528.81,564.40,0.00
4528.38,-0.00,371.62,0.00,-943.24,771.62,0.00
5169.26,-269.26,0.00,338.53,-0.00,130.74,0.00
5243.07,-343.07,0.00,486.15,-0.00,56.93,0.00
4828.76,-0.00,71.24,0.00,-342.48,471.24,0.00
4562.02,-0.00,337.98,0.00,-875.97,737.98,0.00
5120.04,-220.04,0.00,240.07,-0.00,179.96,0.00
5010.53,-110.53,0.00,21.07,-0.00,289.47,0.00
5360.83,-460.83,0.00,721.65,-0.00,0.00,60.83
4864.34,-0.00,35.66,0.00,-271.32,435.66,0.00
4577.32,-0.00,322.68,0.00,-845.35,722.68,0.00
5227.85,-327.85,0.00,455.70,-0.00,72.15,0.00
5227.96,-327.96,0.00,455.92,-0.00,72.04,0.00
4729.67,-0.00,170.33,0.00,-540.66,570.33,0.00
5435.61,-535.61,0.00,871.22,-0.00,0.00,135.61
4611.50,-0.00,288.50,0.00,-777.01,688.50,0.00
5012.22,-112.22,0.00,24.44,-0.00,287.78,0.00
4804.66,-0.00,95.34,0.00,-390.69,495.34,0.00
5238.24,-338.24,0.00,476.49,-0.00,61.76,0.00
4710.56,-0.00,189.44,0.00,-578.87,589.44,0.00
5835.60,-935.60,0.00,1671.20,-0.00,0.00,535.60
4692.20,-0.00,207.80,0.00,-615.60,607.80,0.00
5147.09,-247.09,0.00,294.18,-0.00,152.91,0.00
5233.99,-333.99,0.00,467.99,-0.00,66.01,0.00
5912.22,-1012.22,0.00,1824.43,-0.00,0.00,612.22
5002.34,-102.34,0.00,4.68,-0.00,297.66,0.00
4717.48,-0.00,182.52,0.00,-565.04,582.52,0.00
5305.24,-405.24,0.00,610.47,-0.00,0.00,5.24
5218.55,-318.55,0.00,437.11,-0.00,81.45,0.00
5365.68,-465.68,0.00,731.35,-0.00,0.00,65.68
5615.91,-715.91,0.00,1231.83,-0.00,0.00,315.91
4853.84,-0.00,46.16,0.00,-292.32,446.16,0.00
4558.11,-0.00,341.89,0.00,-883.78,741.89,0.00
4776.09,-0.00,123.91,0.00,-447.82,523.91,0.00
5174.62,-274.62,0.00,349.25,-0.00,125.38,0.00
4725.08,-0.00,174.92,0.00,-549.83,574.92,0.00
5433.09,-533.09,0.00,866.18,-0.00,0.00,133.09
5136.56,-236.56,0.00,273.11,-0.00,163.44,0.00
5062.74,-162.74,0.00,125.49,-0.00,237.26,0.00
5221.57,-321.57,0.00,443.15,-0.00,78.43,0.00
4985.90,-85.90,0.00,0.00,-28.20,314.10,0.00
5367.81,-467.81,0.00,735.62,-0.00,0.00,67.81
5167.94,-267.94,0.00,335.88,-0.00,132.06,0.00
4686.71,-0.00,213.29,0.00,-626.58,613.29,0.00
4878.82,-0.00,21.18,0.00,-242.36,421.18,0.00
5227.68,-327.68,0.00,455.36,-0.00,72.32,0.00
5819.37,-919.37,0.00,1638.75,-0.00,0.00,519.37
4529.91,-0.00,370.09,0.00,-940.19,770.09,0.00
5395.21,-495.21,0.00,790.43,-0.00,0.00,95.21
5047.07,-147.07,0.00,94.13,-0.00,252.93,0.00
5981.09,-1081.09,0.00,1962.18,-0.00,0.00,681.09
5312.11,-412.11,0.00,624.23,-0.00,0.00,12.11
4409.36,-0.00,490.64,0.00,-1181.28,890.64,0.00
4764.27,-0.00,135.73,0.00,-471.45,535.73,0.00
4981.66,-81.66,0.00,0.00,-36.69,318.34,0.00
4923.56,-23.56,0.00,0.00,-152.88,376.44,0.00
4694.57,-0.00,205.43,0.00,-610.87,605.43,0.00
4746.46,-0.00,153.54,0.00,-507.09,553.54,0.00
4966.66,-66.66,0.00,0.00,-66.68,333.34,0.00
4732.01,-0.00,167.99,0.00,-535.99,567.99,0.00
4914.35,-14.35,0.00,0.00,-171.30,385.65,0.00
4949.47,-49.47,0.00,0.00,-101.05,350.53,0.00
4878.36,-0.00,21.64,0.00,-243.29,421.64,0.00
4984.57,-84.57,0.00,0.00,-30.86,315.43,0.00
5376.21,-476.21,0.00,752.41,-0.00,0.00,76.21
4819.86,-0.00,80.14,0.00,-360.28,480.14,0.00
4899.39,-0.00,0.61,0.00,-201.22,400.61,0.00
5222.90,-322.90,0.00,445.80,-0.00,77.10,0.00
5171.63,-271.63,0.00,343.26,-0.00,128.37,0.00
4601.71,-0.00,298.29,0.00,-796.58,698.29,0.00
5062.22,-162.22,0.00,124.43,-0.00,237.78,0.00
4742.99,-0.00,157.01,0.00,-514.03,557.01,0.00
5217.64,-317.64,0.00,435.29,-0.00,82.36,0.00
4721.23,-0.00,178.77,0.00,-557.55,578.77,0.00
4245.72,-0.00,654.28,0.00,-1508.56,1054.28,0.00
5053.32,-153.32,0.00,106.64,-0.00,246.68,0.00
5178.64,-278.64,0.00,357.27,-0.00,121.36,0.00
5255.62,-355.62,0.00,511.24,-0.00,44.38,0.00
5066.64,-166.64,0.00,133.28,-0.00,233.36,0.00
5445.38,-545.38,0.00,890.77,-0.00,0.00,145.38
5072.06,-172.06,0.00,144.12,-0.00,227.94,0.00
4649.17,-0.00,250.83,0.00,-701.65,650.83,0.00
4889.87,-0.00,10.13,0.00,-220.27,410.13,0.00
5018.59,-118.59,0.00,37.18,-0.00,281.41,0.00
5317.47,-417.47,0.00,634.93,-0.00,0.00,17.47
5486.55,-586.55,0.00,973.10,-0.00,0.00,186.55
4697.26,-0.00,202.74,0.00,-605.48,602.74,0.00
5783.88,-883.88,0.00,1567.76,-0.00,0.00,483.88
4891.31,-0.00,8.69,0.00,-217.38,408.69,0.00
5148.16,-248.16,0.00,296.32,-0.00,151.84,0.00
5387.02,-487.02,0.00,774.04,-0.00,0.00,87.02
4959.92,-59.92,0.00,0.00,-80.15,340.08,0.00
5009.40,-109.40,0.00,18.80,-0.00,290.60,0.00
5100.11,-200.11,0.00,200.22,-0.00,199.89,0.00
5051.97,-151.97,0.00,103.95,-0.00,248.03,0.00
5055.03,-155.03,0.00,110.05,-0.00,244.97,0.00
4353.78,-0.00,546.22,0.00,-1292.44,946.22,0.00
5155.08,-255.08,0.00,310.17,-0.00,144.92,0.00
5854.39,-954.39,0.00,1708.79,-0.00,0.00,554.39
4988.54,-88.54,0.00,0.00,-22.92,311.46,0.00
4489.07,-0.00,410.93,0.00,-1021.86,810.93,0.00
5045.21,-145.21,0.00,90.42,-0.00,254.79,0.00
4561.21,-0.00,338.79,0.00,-877.59,738.79,0.00
5361.31,-461.31,0.00,722.61,-0.00,0.00,61.31
5292.33,-392.33,0.00,584.65,-0.00,7.67,0.00
5295.97,-395.97,0.00,591.94,-0.00,4.03,0.00
4869.14,-0.00,30.86,0.00,-261.73,430.86,0.00
5321.39,-421.39,0.00,642.77,-0.00,0.00,21.39
4619.91,-0.00,280.09,0.00,-760.17,680.09,0.00
5455.98,-555.98,0.00,911.97,-0.00,0.00,155.98
5228.07,-328.07,0.00,456.14,-0.00,71.93,0.00
5224.32,-324.32,0.00,448.64,-0.00,75.68,0.00
5761.15,-861.15,0.00,1522.30,-0.00,0.00,461.15
5053.23,-153.23,0.00,106.46,-0.00,246.77,0.00
5867.98,-967.98,0.00,1735.96,-0.00,0.00,567.98
5010.64,-110.64,0.00,21.27,-0.00,289.36,0.00
5470.81,-570.81,0.00,941.61,-0.00,0.00,170.81
5741.81,-841.81,0.00,1483.63,-0.00,0.00,441.81
4980.51,-80.51,0.00,0.00,-38.97,319.49,0.00
4925.10,-25.10,0.00,0.00,-149.80,374.90,0.00
4848.81,-0.00,51.19,0.00,-302.37,451.19,0.00
5363.35,-463.35,0.00,726.70,-0.00,0.00,63.35
5632.07,-732.07,0.00,1264.14,-0.00,0.00,332.07
4896.93,-0.00,3.07,0.00,-206.14,403.07,0.00
5259.64,-359.64,0.00,519.28,-0.00,40.36,0.00
5018.56,-118.56,0.00,37.11,-0.00,281.44,0.00
4835.80,-0.00,64.20,0.00,-328.40,464.20,0.00
5410.92,-510.92,0.00,821.84,-0.00,0.00,110.92
5361.51,-461.51,0.00,723.03,-0.00,0.00,61.51
4849.43,-0.00,50.57,0.00,-301.14,450.57,0.00
4335.12,-0.00,564.88,0.00,-1329.75,964.88,0.00
4818.35,-0.00,81.65,0.00,-363.29,481.65,0.00
5211.71,-311.71,0.00,423.42,-0.00,88.29,0.00
4953.89,-53.89,0.00,0.00,-92.22,346.11,0.00
5005.82,-105.82,0.00,11.64,-0.00,294.18,0.00
5102.76,-202.76,0.00,205.53,-0.00,197.24,0.00
5168.85,-268.85,0.00,337.71,-0.00,131.15,0.00
4468.91,-0.00,431.09,0.00,-1062.18,831.09,0.00
4940.19,-40.19,0.00,0.00,-119.62,359.81,0.00
5440.20,-540.20,0.00,880.40,-0.00,0.00,140.20
4655.70,-0.00,244.30,0.00,-688.60,644.30,0.00
5142.23,-242.23,0.00,284.46,-0.00,157.77,0.00
4707.96,-0.00,192.04,0.00,-584.08,592.04,0.00
5236.00,-336.00,0.00,472.01,-0.00,64.00,0.00
5179.71,-279.71,0.00,359.42,-0.00,120.29,0.00
4872.19,-0.00,27.81,0.00,-255.62,427.81,0.00
5344.51,-444.51,0.00,689.02,-0.00,0.00,44.51
4731.81,-0.00,168.19,0.00,-536.38,568.19,0.00
5323.18,-423.18,0.00,646.37,-0.00,0.00,23.18
5107.76,-207.76,0.00,215.52,-0.00,192.24,0.00
5152.91,-252.91,0.00,305.83,-0.00,147.09,0.00
4913.94,-13.94,0.00,0.00,-172.13,386.06,0.00
4603.65,-0.00,296.35,0.00,-792.70,696.35,0.00
4828.36,-0.00,71.64,0.00,-343.28,471.64,0.00
5486.30,-586.30,0.00,972.61,-0.00,0.00,186.30
5330.15,-430.15,0.00,660.30,-0.00,0.00,30.15
5636.00,-736.00,0.00,1272.00,-0.00,0.00,336.00
5162.96,-262.96,0.00,325.92,-0.00,137.04,0.00
4985.60,-85.60,0.00,0.00,-28.79,314.40,0.00
5322.95,-422.95,0.00,645.90,-0.00,0.00,22.95
4850.96,-0.00,49.04,0.00,-298.07,449.04,0.00
4883.95,-0.00,16.05,0.00,-232.11,416.05,0.00
5382.70,-482.70,0.00,765.40,-0.00,0.00,82.70
5242.76,-342.76,0.00,485.52,-0.00,57.24,0.00
4498.98,-0.00,401.02,0.00,-1002.03,801.02,0.00
4934.64,-34.64,0.00,0.00,-130.73,365.36,0.00
5055.42,-155.42,0.00,110.84,-0.00,244.58,0.00
4711.75,-0.00,188.25,0.00,-576.51,588.25,0.00
5037.66,-137.66,0.00,75.32,-0.00,262.34,0.00
5482.87,-582.87,0.00,965.75,-0.00,0.00,182.87
5261.43,-361.43,0.00,522.86,-0.00,38.57,0.00
4747.89,-0.00,152.11,0.00,-504.22,552.11,0.00
5128.78,-228.78,0.00,257.55,-0.00,171.22,0.00
4670.83,-0.00,229.17,0.00,-658.34,629.17,0.00
4653.38,-0.00,246.62,0.00,-693.24,646.62,0.00
4418.89,-0.00,481.11,0.00,-1162.22,881.11,0.00
5738.34,-838.34,0.00,1476.68,-0.00,0.00,438.34
4967.34,-67.34,0.00,0.00,-65.32,332.66,0.00
5273.58,-373.58,0.00,547.16,-0.00,26.42,0.00
5062.29,-162.29,0.00,124.59,-0.00,237.71,0.00
5146.83,-246.83,0.00,293.66,-0.00,153.17,0.00
4549.60,-0.00,350.40,0.00,-900.79,750.40,0.00
4348.16,-0.00,551.84,0.00,-1303.69,951.84,0.00
5625.12,-725.12,0.00,1250.25,-0.00,0.00,325.12
4672.95,-0.00,227.05,0.00,-654.11,627.05,0.00
5090.89,-190.89,0.00,181.77,-0.00,209.11,0.00
4633.20,-0.00,266.80,0.00,-733.61,666.80,0.00
4420.84,-0.00,479.16,0.00,-1158.31,879.16,0.00
5415.92,-515.92,0.00,831.83,-0.00,0.00,115.92
5399.54,-499.54,0.00,799.09,-0.00,0.00,99.54
4830.23,-0.00,69.77,0.00,-339.54,469.77,0.00
5138.33,-238.33,0.00,276.67,-0.00,161.67,0.00
4917.50,-17.50,0.00,0.00,-165.01,382.50,0.00
4811.06,-0.00,88.94,0.00,-377.89,488.94,0.00
4499.51,-0.00,400.49,0.00,-1000.97,800.49,0.00
4899.00,-0.00,1.00,0.00,-202.01,401.00,0.00
5103.77,-203.77,0.00,207.53,-0.00,196.23,0.00
4782.27,-0.00,117.73,0.00,-435.47,517.73,0.00
5058.36,-158.36,0.00,116.71,-0.00,241.64,0.00
4870.82,-0.00,29.18,0.00,-258.36,429.18,0.00
5407.10,-507.10,0.00,814.19,-0.00,0.00,107.10
5048.60,-148.60,0.00,97.20,-0.00,251.40,0.00
4745.08,-0.00,154.92,0.00,-509.84,554.92,0.00
4777.22,-0.00,122.78,0.00,-445.56,522.78,0.00
4282.61,-0.00,617.39,0.00,-1434.78,1017.39,0.00
4564.91,-0.00,335.09,0.00,-870.19,735.09,0.00
5055.87,-155.87,0.00,111.74,-0.00,244.13,0.00
5584.37,-684.37,0.00,1168.75,-0.00,0.00,284.37
4952.22,-52.22,0.00,0.00,-95.57,347.78,0.00
4688.08,-0.00,211.92,0.00,-623.84,611.92,0.00
5319.81,-419.81,0.00,639.62,-0.00,0.00,19.81
6349.43,-1449.43,0.00,2698.85,-0.00,0.00,1049.43
3959.38,-0.00,940.62,0.00,-2081.25,1340.62,0.00
4747.80,-0.00,152.20,0.00,-504.41,552.20,0.00
5390.42,-490.42,0.00,780.84,-0.00,0.00,90.42
5207.55,-307.55,0.00,415.11,-0.00,92.45,0.00
4910.77,-10.77,0.00,0.00,-178.47,389.23,0.00
4835.96,-0.00,64.04,0.00,-328.08,464.04,0.00
4362.15,-0.00,537.85,0.00,-1275.70,937.85,0.00
4820.95,-0.00,79.05,0.00,-358.09,479.05,0.00
4658.95,-0.00,241.05,0.00,-682.11,641.05,0.00
5457.13,-557.13,0.00,914.27,-0.00,0.00,157.13
5094.72,-194.72,0.00,189.43,-0.00,205.28,0.00
4903.43,-3.43,0.00,0.00,-193.13,396.57,0.00
4704.67,-0.00,195.33,0.00,-590.65,595.33,0.00
4530.30,-0.00,369.70,0.00,-939.41,769.70,0.00
5373.10,-473.10,0.00,746.20,-0.00,0.00,73.10
4975.11,-75.11,0.00,0.00,-49.78,324.89,0.00
4594.58,-0.00,305.42,0.00,-810.84,705.42,0.00
4813.43,-0.00,86.57,0.00,-373.14,486.57,0.00
5156.73,-256.73,0.00,313.45,-0.00,143.27,0.00
5092.60,-192.60,0.00,185.21,-0.00,207.40,0.00
5248.18,-348.18,0.00,496.35,-0.00,51.82,0.00
5904.09,-1004.09,0.00,1808.18,-0.00,0.00,604.09
4489.95,-0.00,410.05,0.00,-1020.11,810.05,0.00
5659.42,-759.42,0.00,1318.85,-0.00,0.00,359.42
4989.40,-89.40,0.00,0.00,-21.20,310.60,0.00
5533.85,-633.85,0.00,1067.71,-0.00,0.00,233.85
5169.90,-269.90,0.00,339.81,-0.00,130.10,0.00
5552.08,-652.08,0.00,1104.15,-0.00,0.00,252.08
4717.54,-0.00,182.46,0.00,-564.92,582.46,0.00
4950.13,-50.13,0.00,0.00,-99.74,349.87,0.00
5412.02,-512.02,0.00,824.05,-0.00,0.00,112.02
5411.17,-511.17,0.00,822.35,-0.00,0.00,111.17
5034.76,-134.76,0.00,69.52,-0.00,265.24,0.00
4963.52,-63.52,0.00,0.00,-72.96,336.48,0.00
5870.36,-970.36,0.00,1740.73,-0.00,0.00,570.36
4703.79,-0.00,196.21,0.00,-592.42,596.21,0.00
5330.03,-430.03,0.00,660.05,-0.00,0.00,30.03
4874.25,-0.00,25.75,0.00,-251.50,425.75,0.00
5179.75,-279.75,0.00,359.51,-0.00,120.25,0.00
4945.98,-45.98,0.00,0.00,-108.05,354.02,0.00
4900.90,-0.90,0.00,0.00,-198.20,399.10,0.00
4514.11,-0.00,385.89,0.00,-971.77,785.89,0.00
5720.47,-820.47,0.00,1440.94,-0.00,0.00,420.47
5840.31,-940.31,0.00,1680.62,-0.00,0.00,540.31
4832.90,-0.00,67.10,0.00,-334.21,467.10,0.00
