Asset_Prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
5519.87,2599.35,-99.35,0.00,-0.00
4745.63,0.00,-0.00,3771.85,-1271.85
4197.52,0.00,-0.00,6512.39,-4012.39
4551.66,0.00,-0.00,4741.72,-2241.72
4525.85,0.00,-0.00,4870.76,-2370.76
4530.70,0.00,-0.00,4846.51,-2346.51
4997.90,0.00,-0.00,2510.52,-10.52
5004.55,22.73,-0.00,2477.27,-0.00
4622.49,0.00,-0.00,4387.53,-1887.53
4939.60,0.00,-0.00,2802.02,-302.02
4574.96,0.00,-0.00,4625.18,-2125.18
5084.42,422.08,-0.00,2077.92,-0.00
4962.32,0.00,-0.00,2688.39,-188.39
4964.32,0.00,-0.00,2678.42,-178.42
5137.47,687.35,-0.00,1812.65,-0.00
4258.78,0.00,-0.00,6206.12,-3706.12
4714.99,0.00,-0.00,3925.05,-1425.05
4506.60,0.00,-0.00,4967.02,-2467.02
5745.25,3726.26,-1226.26,0.00,-0.00
5133.34,666.72,-0.00,1833.28,-0.00
5206.58,1032.91,-0.00,1467.09,-0.00
4592.13,0.00,-0.00,4539.37,-2039.37
4821.63,0.00,-0.00,3391.85,-891.85
5680.77,3403.84,-903.84,0.00,-0.00
4987.84,0.00,-0.00,2560.79,-60.79
4887.75,0.00,-0.00,3061.23,-561.23
4904.52,0.00,-0.00,2977.38,-477.38
4247.25,0.00,-0.00,6263.77,-3763.77
4866.96,0.00,-0.00,3165.18,-665.18
5379.85,1899.27,-0.00,600.73,-0.00
5487.50,2437.52,-0.00,62.48,-0.00
5077.20,386.00,-0.00,2114.00,-0.00
5821.99,4109.94,-1609.94,0.00,-0.00
5361.20,1805.99,-0.00,694.01,-0.00
5586.58,2932.91,-432.91,0.00,-0.00
4583.59,0.00,-0.00,4582.03,-2082.03
5039.33,196.65,-0.00,2303.35,-0.00
4300.91,0.00,-0.00,5995.45,-3495.45
4768.79,0.00,-0.00,3656.03,-1156.03
5112.20,561.02,-0.00,1938.98,-0.00
4725.37,0.00,-0.00,3873.14,-1373.14
5230.33,1151.67,-0.00,1348.33,-0.00
4886.55,0.00,-0.00,3067.23,-567.23
5867.10,4335.49,-1835.49,0.00,-0.00
5394.68,1973.41,-0.00,526.59,-0.00
5846.38,4231.92,-1731.92,0.00,-0.00
5201.71,1008.54,-0.00,1491.46,-0.00
4948.83,0.00,-0.00,2755.83,-255.83
5007.66,38.30,-0.00,2461.70,-0.00
4928.85,0.00,-0.00,2855.74,-355.74
4524.27,0.00,-0.00,4878.66,-2378.66
5196.42,982.12,-0.00,1517.88,-0.00
6342.82,6714.08,-4214.08,0.00,-0.00
4930.12,0.00,-0.00,2849.40,-349.40
4577.09,0.00,-0.00,4614.53,-2114.53
